GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EmployeeApplication,com.example.demo.utils,Scheduler,0,48,0,0,0,18,0,5,0,5
EmployeeApplication,com.example.demo.utils,CustomHealthIndicator,0,32,0,2,0,10,0,4,0,3
EmployeeApplication,com.example.demo.utils,EmailAspect,0,41,0,0,0,15,0,3,0,3
EmployeeApplication,com.example.demo.service,JwtService,1,100,2,2,0,24,2,10,0,10
EmployeeApplication,com.example.demo.service,EmployeeService,14,98,1,1,1,28,3,8,2,8
EmployeeApplication,com.example.demo.service,UserService,0,23,0,0,0,7,0,2,0,2
EmployeeApplication,com.example.demo.service,UserInfoUserDetailsService,25,0,0,0,6,0,3,0,3,0
EmployeeApplication,com.example.demo.filter,JwtAuthFilter,69,0,14,0,17,0,9,0,2,0
EmployeeApplication,com.example.demo.exception,GlobalExceptionHandler,14,0,0,0,3,0,3,0,3,0
EmployeeApplication,com.example.demo.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
EmployeeApplication,com.example.demo.controller,UserController,42,0,2,0,10,0,4,0,3,0
EmployeeApplication,com.example.demo.controller,EmployeeController,10,73,0,0,3,17,1,8,1,8
EmployeeApplication,com.example.demo.controller,HealthcheckController,10,0,0,0,4,0,2,0,2,0
EmployeeApplication,com.example.demo.model,UserInfo,58,231,25,19,1,16,22,19,1,18
EmployeeApplication,com.example.demo.model,Employee,25,142,17,13,0,11,14,13,0,12
EmployeeApplication,com.example.demo.model,AuthRequest,18,106,12,10,0,5,10,11,0,10
EmployeeApplication,com.example.demo.model,UserInfoUserDetails,0,55,1,3,0,17,1,9,0,8
EmployeeApplication,com.example.demo.config,RabbitMqConfig,0,24,0,0,0,6,0,4,0,4
EmployeeApplication,com.example.demo.config,SecurityConfig,116,0,0,0,18,0,10,0,10,0
EmployeeApplication,com.example.demo.config,SwaggerConfig,24,0,0,0,6,0,3,0,3,0
EmployeeApplication,com.example.demo.listener,RabbitMqListener,16,38,1,1,3,15,1,5,0,5
EmployeeApplication,com.example.demo,EmployeeApplication,8,0,0,0,3,0,2,0,2,0
EmployeeApplication,com.example.demo.dto,EmployeeDTO,155,36,30,0,8,6,21,8,6,8
